what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1316956199171
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1316956207877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956220616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956233986
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1316956238596
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1316956241472
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1316956241514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1316956241541
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1316956241541
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316956248596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956253214
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1316956266208
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1316956266244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956266275
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956267991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956272652
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1316956273612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1316956273963
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316956276299
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956277107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956277895
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1316956277905
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1316956279498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1316956282674
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1316956284832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1316956292646
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1316956294654
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1316956298743
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956303264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956304134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956400418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956403752
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316956455650
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316956455867
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316956461135
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316956461385
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316956520367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956525044
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1316956539198
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1316956539298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956539351
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316956539360
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1316956539447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956539843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956541955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316956544278
